x_m,y_m,w_tr_right_m,w_tr_left_m
62.04521391,34.77209507,1.1,1.1
62.12429593,35.15340597,1.1,1.1
62.19728301,35.53580023,1.1,1.1
62.26408233,35.9191064,1.1,1.1
62.32465789,36.3031987,1.1,1.1
62.37907401,36.6880317,1.1,1.1
62.42740491,37.0735676,1.1,1.1
62.46972479,37.45976905,1.1,1.1
62.50610802,37.84659833,1.1,1.1
62.53662874,38.23401787,1.1,1.1
62.56136123,38.62199025,1.1,1.1
62.58037977,39.01047783,1.1,1.1
62.59375812,39.39944294,1.1,1.1
62.60060816,39.78869269,1.1,1.1
62.59709641,40.17755855,1.1,1.1
62.57884345,40.56535552,1.1,1.1
62.54163831,40.9521904,1.1,1.1
62.48131027,41.3385766,1.1,1.1
62.38854925,41.71898352,1.1,1.1
62.24513045,42.07738778,1.1,1.1
62.03800745,42.40068104,1.1,1.1
61.78771503,42.69768029,1.1,1.1
61.52259803,42.98289546,1.1,1.1
61.25052107,43.26071545,1.1,1.1
60.97237056,43.53208025,1.1,1.1
60.68902713,43.79792706,1.1,1.1
60.40137135,44.05919277,1.1,1.1
60.1102837,44.31681455,1.1,1.1
59.81664484,44.57172938,1.1,1.1
59.52133531,44.82487453,1.1,1.1
59.22523568,45.07718687,1.1,1.1
58.9291741,45.32954775,1.1,1.1
58.63343432,45.5822583,1.1,1.1
58.33797723,45.83527564,1.1,1.1
58.04275918,46.08855224,1.1,1.1
57.74773676,46.34204067,1.1,1.1
57.45286658,46.59569338,1.1,1.1
57.15810515,46.84946301,1.1,1.1
56.86340898,47.10330211,1.1,1.1
56.56873467,47.35716314,1.1,1.1
56.27403959,47.61099974,1.1,1.1
55.97930313,47.86478929,1.1,1.1
55.6845263,48.11853309,1.1,1.1
55.38971111,48.37223341,1.1,1.1
55.09485968,48.62589266,1.1,1.1
54.79997402,48.87951309,1.1,1.1
54.50505608,49.13309704,1.1,1.1
54.21010787,49.38664684,1.1,1.1
53.91513159,49.64016475,1.1,1.1
53.62012909,49.89365318,1.1,1.1
53.32510248,50.1471143,1.1,1.1
53.03005377,50.4005506,1.1,1.1
52.734985,50.65396435,1.1,1.1
52.43989818,50.9073578,1.1,1.1
52.14479533,51.16073335,1.1,1.1
51.84967849,51.41409319,1.1,1.1
51.55454974,51.66743981,1.1,1.1
51.25941095,51.92077538,1.1,1.1
50.96426439,52.17410232,1.1,1.1
50.66911184,52.42742288,1.1,1.1
50.37395555,52.68073947,1.1,1.1
50.07879732,52.93405427,1.1,1.1
49.7836394,53.18736969,1.1,1.1
49.48848366,53.440688,1.1,1.1
49.1933322,53.69401159,1.1,1.1
48.89818704,53.94734272,1.1,1.1
48.6030502,54.20068374,1.1,1.1
48.30792363,54.45403697,1.1,1.1
48.0128095,54.70740467,1.1,1.1
47.71770977,54.96078917,1.1,1.1
47.42262645,55.2141928,1.1,1.1
47.12756164,55.46761799,1.1,1.1
46.83251722,55.7210669,1.1,1.1
46.53749543,55.97454186,1.1,1.1
46.24249806,56.2280453,1.1,1.1
45.9475273,56.48157947,1.1,1.1
45.65258517,56.73514661,1.1,1.1
45.35767337,56.98874892,1.1,1.1
45.0627909,57.24238507,1.1,1.1
44.76793519,57.49605209,1.1,1.1
44.47310374,57.74974697,1.1,1.1
44.17829385,58.00346674,1.1,1.1
43.88350293,58.25720836,1.1,1.1
43.58872851,58.51096874,1.1,1.1
43.29396778,58.7647449,1.1,1.1
42.99921833,59.0185339,1.1,1.1
42.70447743,59.27233262,1.1,1.1
42.4097426,59.52613811,1.1,1.1
42.11501119,59.77994726,1.1,1.1
41.82028057,60.03375718,1.1,1.1
41.52554823,60.28756478,1.1,1.1
41.23081153,60.541367,1.1,1.1
40.93606783,60.79516082,1.1,1.1
40.64131457,61.04894336,1.1,1.1
40.34654925,61.30271144,1.1,1.1
40.05176907,61.55646209,1.1,1.1
39.75697162,61.81019236,1.1,1.1
39.46215418,62.06389913,1.1,1.1
39.16731426,62.31757946,1.1,1.1
38.87244914,62.57123031,1.1,1.1
38.57755632,62.82484856,1.1,1.1
38.28263324,63.07843135,1.1,1.1
37.98767718,63.33197562,1.1,1.1
37.69268565,63.58547828,1.1,1.1
37.39765601,63.83893629,1.1,1.1
37.1025856,64.09234678,1.1,1.1
36.80747194,64.34570662,1.1,1.1
36.51231239,64.59901278,1.1,1.1
36.21710437,64.85226232,1.1,1.1
35.92184525,65.10545219,1.1,1.1
35.62653245,65.35857929,1.1,1.1
35.33116334,65.61164074,1.1,1.1
35.03573542,65.86463334,1.1,1.1
34.74024596,66.1175543,1.1,1.1
34.44469241,66.37040027,1.1,1.1
34.14907134,66.62316752,1.1,1.1
33.85337948,66.875852,1.1,1.1
33.55761326,67.12844968,1.1,1.1
33.26176932,67.38095641,1.1,1.1
