x_m,y_m,w_tr_right_m,w_tr_left_m,w_re_right_m,w_re_left_m
2.9472224008591374,-6.382303219758689,0.7267630972287865,0.859951217944159,0.7267630972287865,0.859951217944159
2.931340580641463,-6.379772630354576,0.724572812450178,0.8591724703040038,0.724572812450178,0.8591724703040038
2.9154587606515974,-6.372382524155952,0.7148616802770986,0.8635244598569852,0.7148616802770986,0.8635244598569852
2.8995769407033927,-6.372575786991744,0.715297594333106,0.8601794343932964,0.715297594333106,0.8601794343932964
2.883695120754654,-6.3727172714584155,0.7154526095236134,0.8557762906811033,0.7154526095236134,0.8557762906811033
2.8678133008052495,-6.365682388317646,0.7086032984143589,0.8589446137577152,0.7086032984143589,0.8589446137577152
2.851931480855805,-6.362828436040893,0.7058502608652139,0.857753342545149,0.7058502608652139,0.857753342545149
2.8360496609063657,-6.3626085130436945,0.7056734971593086,0.8541081811620843,0.7056734971593086,0.8541081811620843
2.8201678409569317,-6.36347402931213,0.7065580922331759,0.8497543291308677,0.7065580922331759,0.8497543291308677
2.804286021007496,-6.352481871834283,0.6958523378637007,0.8562305868305308,0.6958523378637007,0.8562305868305308
2.7884042010580603,-6.352784126765044,0.6961856515719027,0.8521571275729197,0.6961856515719027,0.8521571275729197
2.7725223811086246,-6.35248659497187,0.695925747517659,0.8485283052059427,0.695925747517659,0.8485283052059427
