x_m,y_m, w_tr_right_m, w_tr_left_m
35.75283824,-39.69678183,1.1,1.1
36.11491846,-39.66488386,1.1,1.1
36.47630345,-39.62708611,1.1,1.1
36.836911,-39.58278813,1.1,1.1
37.19665857,-39.53138965,1.1,1.1
37.55543691,-39.47245337,1.1,1.1
37.91306874,-39.40595329,1.1,1.1
38.26936591,-39.33192787,1.1,1.1
38.62414065,-39.25041524,1.1,1.1
38.9772048,-39.16145371,1.1,1.1
39.32837051,-39.06508169,1.1,1.1
39.67744971,-38.96133736,1.1,1.1
40.02425448,-38.85025905,1.1,1.1
40.36859687,-38.73188501,1.1,1.1
40.71028882,-38.60625358,1.1,1.1
41.04914241,-38.47340302,1.1,1.1
41.38496963,-38.33337164,1.1,1.1
41.71759159,-38.18620499,1.1,1.1
42.04690678,-38.03201114,1.1,1.1
42.37285342,-37.87093007,1.1,1.1
42.69537,-37.70310205,1.1,1.1
43.01439502,-37.52866727,1.1,1.1
43.3298669,-37.34776601,1.1,1.1
43.64172416,-37.16053853,1.1,1.1
43.94990527,-36.96712498,1.1,1.1
44.25434875,-36.76766575,1.1,1.1
44.55499303,-36.56230099,1.1,1.1
44.85177666,-36.35117095,1.1,1.1
45.14463808,-36.13441584,1.1,1.1
45.4335158,-35.91217601,1.1,1.1
45.71834829,-35.68459165,1.1,1.1
45.99907401,-35.45180288,1.1,1.1
46.2756315,-35.21395013,1.1,1.1
46.54795921,-34.97117359,1.1,1.1
46.81599563,-34.7236134,1.1,1.1
47.07967926,-34.47140988,1.1,1.1
47.33894852,-34.21470332,1.1,1.1
47.593742,-33.95363392,1.1,1.1
47.84399811,-33.68834187,1.1,1.1
48.08965535,-33.41896744,1.1,1.1
48.33065215,-33.14565091,1.1,1.1
48.56692715,-32.86853254,1.1,1.1
48.79841449,-32.58774737,1.1,1.1
49.02497155,-32.30333591,1.1,1.1
49.24638732,-32.01525479,1.1,1.1
49.46244843,-31.72345776,1.1,1.1
49.67294174,-31.42789867,1.1,1.1
49.8776539,-31.12853127,1.1,1.1
50.07637154,-30.82530929,1.1,1.1
50.26888153,-30.51818665,1.1,1.1
50.45497043,-30.20711711,1.1,1.1
50.63442511,-29.89205438,1.1,1.1
50.80703214,-29.57295234,1.1,1.1
50.97257829,-29.24976471,1.1,1.1
51.13085029,-28.92244531,1.1,1.1
51.28167245,-28.59098087,1.1,1.1
51.42520158,-28.25564944,1.1,1.1
51.56176763,-27.91688075,1.1,1.1
51.69170208,-27.57510587,1.1,1.1
51.8153364,-27.23075582,1.1,1.1
51.93300208,-26.8842617,1.1,1.1
52.0450236,-26.53605174,1.1,1.1
52.15133151,-26.18639419,1.1,1.1
52.25126359,-25.83531635,1.1,1.1
52.34410849,-25.4828256,1.1,1.1
52.42915488,-25.12892937,1.1,1.1
52.50569134,-24.77363515,1.1,1.1
52.5730141,-24.41695105,1.1,1.1
52.63084409,-24.05892988,1.1,1.1
52.67954361,-23.69969174,1.1,1.1
52.71952843,-23.33936225,1.1,1.1
